variable,missing_count,missing_percent
SC017Q01NA,92,10.66
SC017Q09JA,92,10.66
SC061Q09TA,92,10.66
PROPSUPP,92,10.66
SC027Q02NA,91,10.54
SC027Q03NA,91,10.54
SC027Q04NA,91,10.54
SC211Q02JA,90,10.43
SC190Q06JA,90,10.43
SC190Q07JA,89,10.31
PROADMIN,89,10.31
SC190Q01JA,88,10.2
SC190Q10JA,88,10.2
SC201Q03JA,87,10.08
SC201Q04JA,87,10.08
SC201Q06JA,87,10.08
SC201Q07JA,87,10.08
SC190Q02JA,87,10.08
SC190Q05JA,87,10.08
SC190Q08JA,87,10.08
SC190Q09JA,87,10.08
SC190Q11JA,87,10.08
PROMGMT,86,9.97
SRESPRES,85,9.85
SC201Q11JA,84,9.73
SC201Q05JA,83,9.62
SC201Q01JA,82,9.5
SC202Q04JA,81,9.39
SRESPCUR,81,9.39
SC185Q03WA,80,9.27
SC202Q06JA,80,9.27
SC202Q09JA,80,9.27
SC202Q12JA,80,9.27
SC012Q04TA,79,9.15
SC012Q06TA,79,9.15
SC012Q12JA,79,9.15
SC185Q01WA,79,9.15
SC185Q02WA,79,9.15
SC185Q04WA,79,9.15
SC185Q05WA,79,9.15
SC202Q02JA,79,9.15
SC202Q03JA,79,9.15
SC202Q05JA,79,9.15
SC202Q08JA,79,9.15
SC012Q01TA,78,9.04
SC012Q02TA,78,9.04
SC012Q03TA,78,9.04
SC012Q05TA,78,9.04
SC012Q08JA,78,9.04
SC012Q10JA,78,9.04
SC202Q01JA,78,9.04
SC202Q07JA,78,9.04
SC202Q10JA,78,9.04
SC202Q11JA,78,9.04
SCHSEL,78,9.04
SC012Q11JA,76,8.81
SC016Q01TA,74,8.57
SC014Q01TA,58,6.72
SC011Q01TA,58,6.72
SC013Q01TA,57,6.6
SC001Q01TA,56,6.49
LANGTEST_QQQ,51,5.91
CNT,0,0
CNTRYID,0,0
CNTSCHID,0,0
CYC,0,0
NatCen,0,0
STRATUM,0,0
SUBNATIO,0,0
REGION,0,0
OECD,0,0
ADMINMODE,0,0
SC053D11TA,0,0
PRIVATESCH,0,0
SCHLTYPE,0,0
W_SCHGRNRABWT,0,0
W_FSTUWT_SCH_SUM,0,0
W_FSTUWT_SCH_N,0,0
SENWT,0,0
VER_DAT,0,0
